id,category,subject,description,gold_label,gold_notes,challenge_type
C-01,Straßen > Straßenbeleuchtung > Leuchte dunkel,Laterne am Weg komplett aus,Am Weg entlang der Auenstraße ist eine Laterne seit Tagen dunkel. Bereich ist abends sehr unübersichtlich.,uncertain,"Kann Radfahrende betreffen, aber unklar ob das ein Radweg, Gehweg oder Parkweg ist.",ambiguous
C-02,Straßen > Fahrbahnmarkierung > Markierung fehlt/unklar,Markierung an Kreuzung weg,"An der Ecke Florastraße / Mühlenweg sind die weißen Linien fast nicht mehr zu sehen. Man weiß nicht, wo man lang soll.",uncertain,"Unklar, ob es um eine Radfurt/Radstreifen-Markierung oder allgemeine Fahrbahnmarkierung geht.",ambiguous
C-03,Straßen > Oberfläche/Schäden > Schlagloch/Absenkung,Tiefe Kante im Asphalt,Auf der Schillerallee kurz vor der Brücke ist eine abgesackte Stelle mit harter Kante. Man merkt es erst im letzten Moment.,uncertain,"Könnte für Radfahrende gefährlich sein, aber es ist nicht klar, ob die Stelle auf einer von Rädern genutzten Spur liegt.",ambiguous
C-04,Grünanlagen > Wege in Parks > Verschmutzung/Glasscherben,Überall Scherben auf dem Weg,"Im Park am Rosenring liegen viele Glassplitter auf dem Weg, bestimmt von einer Flasche. Bitte mal sauber machen.",uncertain,"Glasscherben können Radfahrende stark betreffen, aber der Wegtyp (Rad-/Gehweg) wird nicht genannt.",ambiguous
C-05,Straßen > Entwässerung > Gully verstopft/stehendes Wasser,Große Pfütze nach Regen,"Nach jedem Regen steht an der Kurve Eibenweg eine riesige Pfütze, offenbar ist der Gully zu. Man muss dann außenrum.",uncertain,"Stehendes Wasser kann Radfahrende behindern, aber es fehlt, ob das auf Fahrbahn, Seitenstreifen oder Gehweg ist.",ambiguous
C-06,Straßen > Ampeln/Signalanlagen > Ampel defekt,Ampel schaltet sehr komisch,An der Kreuzung Hohenzollernring / Kranichstraße bleibt die Ampel ewig rot und springt dann direkt auf grün. Mehrere Leute warten ewig.,uncertain,"Könnte eine Querungsampel oder eine Rad-/Fahrbahnampel sein, das geht aus dem Text nicht hervor.",ambiguous
C-07,Gehwege > Hindernisse > Baustellenabsperrung/Material,Absperrgitter steht mitten drauf,"In der Lindenpassage steht ein Bauzaun quer auf dem Weg, man kommt kaum vorbei. Ist seit gestern so.",uncertain,"Kann Radfahrende betreffen (z.B. wenn es ein gemeinsam genutzter Weg ist), aber es wird nur allgemein von „Weg“ gesprochen.",ambiguous
C-08,Straßen > Winterdienst > Nicht geräumt/Glätte,Extrem glatt am Morgen,"Auf dem Stück am Uferweg ist es morgens spiegelglatt, wurde wohl nicht gestreut. Mehrere sind schon ausgerutscht.",uncertain,"Glätte kann Radfahrende treffen, aber unklar ob das ein Radweg, Gehweg oder nur Fußpfad ist.",ambiguous
C-09,Straßen > Verkehrszeichen > Schild beschädigt/verdeckt,Schild komplett verdeckt,"Am Abzweig Birkenstraße hängt ein Ast vor dem Schild, man sieht es gar nicht mehr. Keine Ahnung, was da gilt.",uncertain,"Wenn es ein Radweg-/Durchfahrtsschild ist, wäre es relevant, aber der Schildtyp wird nicht genannt.",ambiguous
C-10,Straßen > Oberfläche/Schäden > Lose Steine/Splitt,Viel Splitt auf der Strecke,"Auf der Strecke entlang der Kastanienstraße liegt überall Splitt/kleine Steine, vor allem in den Kurven. Fühlt sich rutschig an.",uncertain,"Splitt kann Radfahrende gefährden, aber es ist nicht klar, ob die Strecke ein Radweg oder eine allgemeine Straße/Promenade ist.",ambiguous
D-01,Fahrbahnmarkierungen / Verkehrsschilder,Piktogramme auf Streifen kaum sichtbar,Auf dem gestrichelten Schutzstreifen sind die Piktogramme fast komplett weg. Dadurch wird der Streifen regelmäßig von Autos mitbenutzt.,true,Explizit: Schutzstreifen + Piktogramme auf markiertem Streifen => klare Rad-Infrastruktur.,tricky_true
D-02,Stehendes Wasser,Rote Spur steht dauerhaft unter Wasser,Die rot eingefärbte Spur am rechten Rand steht nach Regen auf ca. 15 Metern komplett unter Wasser. Auf der Spur sind mehrere Piktogramme aufgemalt.,true,Explizit: rot eingefärbte Spur + Piktogramme (Marker) => Rad-Infrastruktur betroffen.,tricky_true
D-03,Hindernisse & Blockaden,Absperrgitter auf markiertem Streifen,Wegen Baustelle stehen Absperrgitter direkt auf dem Schutzstreifen. Der Schutzstreifen ist durch gestrichelte Linien klar markiert.,true,"Explizit: Schutzstreifen/Markierung, dazu Blockade => radrelevant.",tricky_true
D-04,Infrastrukturschäden,Kante am abgesenkten Gully im Schutzstreifen,Ein Gullydeckel im Schutzstreifen ist abgesackt und bildet eine harte Kante. Man muss auf die Fahrspur ausweichen.,true,Explizit: Schutzstreifen genannt => eindeutige Rad-Infrastruktur.,tricky_true
D-05,Müll & Scherben,Glassplitter auf dem Schutzstreifen,"Über mehrere Meter liegen Glasscherben im Schutzstreifen, besonders im Bereich der gestrichelten Markierung. Das ist eine klare Pannen- und Rutschgefahr.",true,Explizit: Schutzstreifen + Scherben => radrelevanter Fahrbereich.,tricky_true
D-06,Grünwuchs,Äste ragen in rot markierte Spur,"Überhängende Äste ragen in die rot markierte Spur hinein. Auf dem Belag sind Piktogramme zu sehen, man muss stark ausweichen.",true,Explizit: rot markierte Spur + Piktogramme => Rad-Infrastruktur betroffen.,tricky_true
D-07,Hindernisse & Blockaden,Parkende Autos auf dem Schutzstreifen,Mehrere Autos stehen regelmäßig auf dem Schutzstreifen und blockieren ihn vollständig. Der Schutzstreifen ist durch gestrichelte Linien markiert.,true,Explizit: Schutzstreifen + Blockade durch parkende Fahrzeuge => radrelevant.,tricky_true
D-08,Markierung & Beschilderung,Gestrichelte Linien des Schutzstreifens fehlen,Nach der Fahrbahnerneuerung fehlen die gestrichelten Linien des Schutzstreifens auf einer Länge von ca. 80 Metern. Der Streifen ist dadurch kaum noch erkennbar.,true,Explizit: Schutzstreifen/Markierung => Rad-Infrastruktur.,tricky_true
D-09,Infrastrukturschäden,Wurzel hebt Belag in roter Spur,"Eine Wurzel hebt den Belag in der rot eingefärbten Spur an. Auf der Spur sind Piktogramme vorhanden, es ruckelt stark beim Darüberfahren.",true,Explizit: rot eingefärbte Spur + Piktogramme => Rad-Infrastruktur betroffen.,tricky_true
D-10,Verunreinigungen,Laubschicht auf Schutzstreifen sehr rutschig,Der Schutzstreifen ist komplett mit nassem Laub bedeckt und dadurch extrem rutschig. Die Markierung ist kaum noch zu sehen.,true,Explizit: Schutzstreifen genannt => radrelevant; Verschmutzung erhöht Sturzgefahr.,tricky_true
E-01,Sonstiges,Fahrrad am Rhein gefunden,"Heute am Rheinufer stand ein herrenloses Fahrrad mit kleinem Korb. Keine Gefahr oder Behinderung, wirkt nur vergessen.",false,"Es geht um einen Fundgegenstand, nicht um Radverkehrssicherheit oder Infrastruktur.",tricky_false
E-02,Sonstiges,Streit um Fahrradverkauf online,"Habe über Kleinanzeigen ein Fahrrad gekauft und der Verkäufer meldet sich nicht mehr. Bitte klären, ob die Stadt da helfen kann?",false,"Privater Konflikt/Verbraucherthema, kein Bezug zu öffentlicher Rad-Infrastruktur oder Sicherheit.",tricky_false
E-03,Sicherheit und Gefahr,Fahrraddiebstahl im Innenhof vermutet,"Mein Fahrrad ist seit gestern weg, vermutlich geklaut. Weiß nicht, ob jemand was gesehen hat.",false,Diebstahlmeldung ohne Bezug zu Verkehrsanlage oder Gefahrenstelle im öffentlichen Raum.,tricky_false
E-04,Sonstiges,Verlorener Fahrradschlüssel,"Habe meinen Fahrradschlüssel irgendwo am Neumarkt verloren. Falls der gefunden wird, bitte ans Fundbüro.",false,"Verlust/Fundbüro-Thema, keine Auswirkungen auf Radfahr-Sicherheit oder -Erlebnis.",tricky_false
E-05,Sonstiges,Fahrrad hat Platten nach Reparatur,"War in einer Werkstatt und seitdem hat das Fahrrad wieder einen Platten. Das ist echt ärgerlich, wohin kann ich mich wenden?",false,"Privater Service-/Werkstattsachverhalt, keine öffentliche Infrastruktur oder Verkehrsgefahr.",tricky_false
E-06,Sonstiges,Fahrrad im Park steht schon länger,"Im Stadtgarten steht seit Tagen ein Fahrrad am Baum angekettet. Es behindert niemanden, sieht nur ungepflegt aus.",false,"Kein Sicherheits- oder Infrastrukturproblem, lediglich Beobachtung ohne Behinderung/Gefahr.",tricky_false
E-07,Sonstiges,Fahrradständer voll wegen Dauerparker,"Am Büro sind die Fahrradständer ständig voll, weil da immer dieselben Räder stehen. Ist das erlaubt?",false,Nutzung/Ordnung von Abstellplätzen ohne akute Gefahr oder Infrastrukturdefekt; kein Radfahrerlebnis/Sicherheitsproblem im Sinne der Rubrik.,tricky_false
E-08,Sonstiges,Fahrrad als Sperrmüll angekündigt,"Jemand hat ein altes Fahrrad mit Zettel „zu verschenken“ an die Hauswand gestellt. Steht ordentlich, nichts blockiert.",false,"Privates Abstellen/Verschenken ohne Behinderung oder Gefahr, nicht Radverkehr-relevant.",tricky_false
E-09,Sonstiges,Vermisste Fahrradpumpe gemeldet,Meine Fahrradpumpe ist aus dem Keller verschwunden. Vielleicht hat sie jemand aus Versehen mitgenommen.,false,"Privater Verlust/Diebstahl von Zubehör, kein Bezug zu öffentlicher Radinfrastruktur oder Sicherheit.",tricky_false
E-10,Sonstiges,Fahrrad-Verleihrechnung unklar,Bei einem Fahrradverleih wurde mir zu viel abgebucht. Kann die Stadt das prüfen oder ist das privat?,false,"Abrechnungs-/Vertragsthema mit Anbieter, keine Radverkehrs-Infrastruktur oder Sicherheitsfrage.",tricky_false
F-01,Grünwuchs,Geh- und Radweg stark zugewachsen,"Der gemeinsame Geh- und Radweg ist durch Büsche so zugewachsen, dass man nur noch hintereinander fahren kann. Bitte zurückschneiden.",true,Explizite Nennung von Geh- und Radweg => radrelevant.,easy_true
F-02,Fahrbahnmarkierungen / Verkehrsschilder,Markierung in der Fahrradstraße fehlt,In der Fahrradstraße sind die Markierungen und Piktogramme nach dem neuen Asphalt fast komplett verschwunden. Viele Autos fahren dort zu schnell.,true,Explizite Nennung Fahrradstraße + fehlende Markierung => radrelevant.,easy_true
F-03,Hindernisse & Blockaden,E-Scooter blockiert Schutzstreifen,Seit Tagen liegen mehrere E-Scooter quer im Schutzstreifen an der Kreuzung. Man kommt nur mit Ausweichen auf die Fahrspur vorbei.,true,Explizit: Schutzstreifen + Blockade => radrelevant.,easy_true
F-04,Beleuchtung & Ampeln,Grünphase der Radfahrerampel zu kurz,Die Radfahrerampel schaltet nur sehr kurz auf Grün. Selbst bei normalem Tempo schafft man es kaum über die Kreuzung.,true,Explizite Nennung Radfahrerampel => radrelevant (Signalthema).,easy_true
F-05,Müll & Scherben,Splitt im Schutzstreifen nach Winterdienst,Nach dem Winterdienst liegt sehr viel Splitt im Schutzstreifen auf mehreren Metern. Das verursacht Rutschgefahr und Platten.,true,Explizit: Schutzstreifen + Splitt => radrelevant.,easy_true
F-06,Schlaglöcher,Schlagloch auf der Fahrbahn vor Hausnr. 11,Vor der Hausnummer 11 ist ein tiefes Schlagloch in der Fahrbahn. Besonders bei Dunkelheit schwer zu erkennen.,uncertain,Kein expliziter Hinweis auf Rad-Infrastruktur oder Marker; könnte viele betreffen.,ambiguous
F-07,Beleuchtung & Ampeln,Beleuchtung am Weg ausgefallen,Am Weg hinter den Häusern ist die Beleuchtung seit Tagen komplett aus. Es ist dort abends sehr dunkel.,uncertain,Weg ohne Hinweis auf geteilte Nutzung oder Rad-Infrastruktur.,ambiguous
F-08,Hindernisse & Blockaden,Absperrung auf schmalem Streifen am Rand,"Eine Baustellenabsperrung steht auf einem schmalen Streifen am Fahrbahnrand. Es ist unklar, ob das eine spezielle Spur ist.",uncertain,Kein expliziter Marker (z.B. Schutzstreifen/Piktogramme) genannt.,ambiguous
F-09,Stehendes Wasser,Große Pfütze am rechten Fahrbahnrand,Am rechten Fahrbahnrand steht nach Regen eine große Pfütze über ca. 10 Quadratmeter. Man muss weit nach links ausweichen.,uncertain,Rechter Rand allein ist kein eindeutiger Rad-Hinweis ohne Marker.,ambiguous
F-10,Verunreinigungen,Glasscherben auf dem Weg,"Auf dem Weg liegen überall Glasscherben und kleiner Müll. Bitte reinigen, sonst ist es gefährlich.",uncertain,Nur 'Weg' ohne Rad-Hinweis oder Infrastrukturmarker.,ambiguous
F-11,Müllkippe,Defektes Fahrrad im Hausflur,Im Hausflur liegt seit Wochen ein kaputtes Fahrrad und nimmt Platz weg. Bitte an Eigentümer oder Hausverwaltung weitergeben.,false,"Privater Innenbereich, kein öffentlicher Infrastrukturbezug.",tricky_false
F-12,Müllkippe,"Altes Fahrrad am Baum, aber nicht im Weg","An einem Baum steht ein altes Fahrrad ohne Sattel. Es steht am Rand und blockiert niemanden, wirkt nur verlassen.",false,"Fahrrad erwähnt, aber keine Blockade/Gefahr für öffentliche Wege oder Infrastrukturmarker.",tricky_false
F-13,Sicherheit und Gefahr,Verdacht auf Fahrraddiebstahl,Seit gestern schraubt jemand abends an mehreren Fahrrädern am Innenhof herum. Bitte Polizei informieren oder prüfen lassen.,false,"Thema Diebstahl/privater Vorfall, kein Infrastruktur- oder Fahrbereichsbezug.",tricky_false
F-14,Brunnen,Brunnen sprudelt nicht,Der Brunnen auf dem Platz ist seit Tagen aus und das Wasser riecht unangenehm. Bitte reinigen oder reparieren.,false,"Unrelated Infrastruktur (Brunnen), kein Radbezug.",easy_false
F-15,Sonstiges,Schlüssel für Fahrradschloss verloren,Ich habe den Schlüssel für mein Fahrradschloss verloren und das Fahrrad steht nun fest. Bitte Hinweise zum Fundbüro.,false,"Privates Problem (Schloss/Schlüssel), kein öffentlicher Infrastrukturbezug.",tricky_false
